Phrase	Combined Score	Phrase Quality Score	Wiki Linking Score	NP Count Score	
secret_sharing	1.96937690024	0.9696113438	3	0	
key_generation	2.77776303352	0.9644959338	3	1	
block_cipher	2.77557159807	0.962974712	3	1	
digital_signature	2.77426478102	0.9620681344	3	1	
quantum_computing	1.96131146858	0.9616856692	3	0	
key_management	2.77294962104	0.9611562001	3	1	
key_exchange	2.77230609724	0.9607101371	3	1	
digital_signatures	2.77101084083	0.959812635	3	1	
finite_field	2.76558251021	0.9560558276	3	1	
stream_cipher	2.76511802309	0.9557347102	3	1	
oblivious_transfer	1.95399404574	0.9545231827	3	0	
elliptic_curves	2.76214256605	0.9536789444	3	1	
coding_theory	1.95289054215	0.9534453674	3	0	
wireless_sensor_networks	2.76165026359	0.9533390223	3	1	
quantum_mechanics	2.76127996842	0.953083383	3	1	
information_theory	2.75884310681	0.951401911	3	1	
elliptic_curve	2.75848438168	0.9511545105	3	1	
smart_cards	2.75803662586	0.9508457537	3	1	
scalar_multiplication	2.75646060171	0.9497593811	3	1	
private_key	2.75644232982	0.9497467897	3	1	
quantum_computers	2.75553866705	0.9491241682	3	1	
wireless_networks	2.75511563968	0.9488327735	3	1	
signature_scheme	2.75501198908	0.9487613825	3	1	
access_control	2.7538624763	0.9479698173	3	1	
public_key_infrastructure	2.75240020593	0.9469633617	3	1	
integer_factorization	2.75217682717	0.946809661	3	1	
identity_based	1.68535096938	0.94680263	2	0	
block_ciphers	2.75212255817	0.9467723219	3	1	
mobile_phone	2.7519600673	0.9466605265	3	1	
wireless_sensor_network	2.75079544074	0.9458594446	3	1	
modular_arithmetic	2.75014991519	0.9454155695	3	1	
rfid_tags	2.38154794237	0.9452951003	2	1	
pixel_expansion	2.38043334841	0.9444104877	2	1	
finite_fields	2.74701359429	0.9432604609	3	1	
quantum_key_distribution	2.74535285936	0.9421202903	3	1	
cellular_automata	2.74482213253	0.9417560674	3	1	
quantum_state	2.74479958438	0.9417405948	3	1	
discrete_logarithms	2.74466389461	0.9416474868	3	1	
high_speed	1.94014281897	0.9410385395	1	1	
finite_field_arithmetic	2.74288636629	0.9404282023	3	1	
fourier_transform	2.74249988966	0.9401632056	3	1	
wireless_communication	2.74185846141	0.9397234778	3	1	
complexity_theory	1.9386539717	0.9395948055	1	1	
sensor_networks	2.73968627839	0.938235113	3	1	
identity_based_encryption	1.93426448543	0.9353447749	3	0	
session_initiation_protocol	2.73456653706	0.9347317682	3	1	
key_distribution	2.73448832332	0.9346782988	3	1	
secure_communications	1.93339131269	0.934500492	3	0	
game_theory	2.73331986727	0.9338796871	3	1	
plain_text	2.73281590877	0.9335353489	3	1	
bilinear_pairings	2.36632975251	0.9332527496	2	1	
provable_security	2.73238367584	0.933240069	3	1	
smart_card	2.73066911829	0.9320692292	3	1	
information_processing	2.72957340198	0.9313213696	3	1	
communication_complexity	2.72936614151	0.9311799418	3	1	
key_agreement	2.72895427649	0.9308989304	3	1	
fault_tolerant	2.72811571602	0.93032692	3	1	
prime_fields	2.36207163901	0.9298970713	2	1	
white_box	1.92843962799	0.9297198497	1	1	
point_multiplication	2.3616452563	0.9295613861	2	1	
radio_frequency_identification	2.72548384079	0.9285327708	3	1	
instruction_set	1.92706460172	0.9283944948	3	0	
cryptographic_protocols	2.725163907	0.92831479	3	1	
quantum_computation	2.72501679819	0.9282145688	3	1	
elliptic_curve_cryptography	2.7245966881	0.9279283891	3	1	
diffie_hellman	2.72422141685	0.927672791	3	1	
multivariate_quadratic	2.35850719342	0.9270926969	2	1	
error_diffusion	1.92557714735	0.9269618376	3	0	
hash_functions	2.72242139912	0.9264472843	3	1	
neural_network	2.72150223281	0.9258218004	3	1	
secret_image	2.35681765561	0.9257649103	2	1	
cryptographic_primitives	2.35680613212	0.9257558574	2	1	
public_key_cryptosystems	2.35652575008	0.9255356018	2	1	
unconditionally_secure	0.961639117393	0.9247497921	0	0	
error_correction	1.92314642927	0.9246230471	3	0	
randomness_extraction	2.35402342006	0.9235710437	2	1	
fault_tolerance	2.71759375978	0.9231644804	3	1	
hash_function	2.71714328632	0.9228584548	3	1	
cellular_automaton	2.71684262202	0.9226542291	3	1	
low_power	0.960473510358	0.9225093641	0	0	
low_cost	1.92091044091	0.9224742305	3	0	
visual_cryptography	2.71595083063	0.9220486143	3	1	
quantum_entanglement	2.71571145551	0.9218860887	3	1	
provably_secure	1.92029003757	0.9218784571	3	0	
key_establishment	2.71544733552	0.921706779	3	1	
authentication_scheme	2.35114988233	0.9213176282	2	1	
number_theory	2.71400357229	0.9207269238	3	1	
dna_sequencing	1.91899604919	0.9206364592	3	0	
quantum_mechanical	1.91899291797	0.9206334548	3	0	
black_box	2.71318164257	0.9201693282	3	1	
signal_processing	2.71105027677	0.9187242004	3	1	
universally_composable	0.958336145515	0.9184081678	0	0	
extension_field	1.91665148454	0.9183882283	3	0	
number_theoretic	2.34700804711	0.9180744622	2	1	
hamming_weight	1.91600203998	0.9177659543	3	0	
secret_sharing_schemes	1.65918503136	0.9176316561	2	0	
key_escrow	2.70938433464	0.9175954341	3	1	
galois_fields	2.70916540078	0.9174471461	3	1	
cloud_computing	1.91421099662	0.9160509349	3	0	
peter_shor	2.34412684657	0.9158217788	2	1	
key_agreement_protocol	2.7060018776	0.9153057702	3	1	
hilbert_space	2.70571578714	0.9151122401	3	1	
distributed_systems	1.91272519814	0.9146294209	3	0	
secret_images	2.34036379672	0.9128837835	2	1	
wireless_network	2.70228115132	0.9127904276	3	1	
encryption_scheme	2.33975230958	0.9124068117	2	1	
bounded_storage_model	2.33962209807	0.9123052603	2	1	
digital_rights_management	2.70084057671	0.9118174776	3	1	
mutual_authentication	2.70074511852	0.9117530244	3	1	
fourier_sampling	1.65371506485	0.9115911719	2	0	
ion_trap	2.69971932245	0.9110605525	3	1	
privacy_amplification	2.698956544	0.9105458033	3	1	
authentication_protocol	2.69839226163	0.9101650997	3	1	
dihedral_group	2.69822198434	0.9100502346	3	1	
random_number_generator	2.69788984119	0.9098261994	3	1	
ad_hoc_networks	1.65192579815	0.9096196142	2	0	
credit_card	2.69757387828	0.9096131036	3	1	
el_gamal	2.33602336679	0.9095008617	2	1	
mobile_devices	2.69641937109	0.9088346781	3	1	
quantum_teleportation	2.69622438918	0.9087032446	3	1	
constrained_devices	0.953095380746	0.9083908048	0	0	
power_consumption	2.69572176858	0.9083644817	3	1	
sensor_nodes	2.33449627038	0.9083121394	2	1	
field_programmable_gate_array	2.69537897061	0.9081334744	3	1	
discrete_log	2.69533183679	0.9081017138	3	1	
symmetric_encryption	2.69460747063	0.9076136776	3	1	
access_structure	2.69439283387	0.9074690929	3	1	
fiat_shamir	2.33311172827	0.9072350561	2	1	
worst_case	1.90477210395	0.907039192	3	0	
differential_cryptanalysis	2.69301191991	0.9065391501	3	1	
service_providers	2.69250650109	0.9061989073	3	1	
computational_complexity	2.69238621093	0.9061179386	3	1	
boolean_functions	2.69210950684	0.9059316996	3	1	
computational_intelligence	2.69165954831	0.9056288905	3	1	
ad_hoc	1.90314478272	0.905490016	3	0	
normal_basis	2.691100292	0.9052525977	3	1	
extension_fields	1.64788050726	0.9051700554	2	0	
prime_field	2.69077910219	0.9050365221	3	1	
wi_fi	2.69054821313	0.9048812109	3	1	
dynamical_systems	2.69051974563	0.9048620627	3	1	
random_oracles	2.32979126022	0.9046545527	2	1	
neal_koblitz	2.32904484684	0.9040749831	2	1	
threshold_cryptography	2.32867717007	0.9037895604	2	1	
stream_ciphers	2.68860559904	0.9035750084	3	1	
edwards_curves	2.68851492494	0.9035140627	3	1	
signature_schemes	2.3282111631	0.90342787	2	1	
optical_fiber	2.68826208097	0.903344127	3	1	
mobile_networks	2.32775725539	0.90307564	2	1	
sensor_network	2.68782545341	0.9030507085	3	1	
post_quantum_cryptography	2.68779352079	0.9030292513	3	1	
electronic_voting	1.90050301605	0.9029779285	3	0	
algebraic_tori	2.32745313319	0.9028396812	2	1	
mobile_phones	2.68745069075	0.9027989019	3	1	
linear_feedback_shift	2.32734966071	0.9027594072	2	1	
modular_exponentiation	2.68670927627	0.9023008419	3	1	
ssl_tls	2.32667021634	0.9022323826	2	1	
neural_networks	2.68613928857	0.9019180347	3	1	
optical_tweezers	2.68607337547	0.9018737723	3	1	
quantum_channel	2.6859721242	0.9018057815	3	1	
performance_evaluation	2.68587085289	0.9017377798	3	1	
embedded_systems	1.89886210568	0.9014193241	3	0	
chaotic_maps	2.32533688256	0.9011986029	2	1	
optimal_contrast	1.34242881383	0.9010575601	0	1	
public_key_cryptography	2.6845451874	0.9008478579	3	1	
password_based	1.64385126389	0.9007489926	2	0	
identity_based_cryptography	1.64372288385	0.9006083063	2	0	
bit_error_rate	1.89782754938	0.9004373518	3	0	
symmetric_key	1.34167921412	0.9000515568	0	1	
digital_signal_processing	2.68292556125	0.8997611959	3	1	
leakage_resilient	1.34113625326	0.8993232249	0	1	
discrete_wavelet_transform	2.68223096396	0.899295368	3	1	
density_matrix	2.6815175948	0.8988170764	3	1	
emotional_information_processing	2.32220001025	0.8987688146	2	1	
cipher_text	2.68092130985	0.8984173837	3	1	
pairing_based_cryptography	1.64166277502	0.8983522223	2	0	
trade_offs	2.3215993383	0.8983039146	2	1	
mobile_ad_hoc_network	1.89554069679	0.8982686333	3	0	
network_security	2.68030461567	0.8980041041	3	1	
communication_systems	2.68022011454	0.8979474828	3	1	
dolev_yao	2.32087598118	0.89774422	2	1	
private_keys	2.32029253578	0.8972929086	2	1	
certificate_authority	2.67913362548	0.8972196229	3	1	
certificateless_public_key_cryptography	2.31953074858	0.8967038156	2	1	
hyperelliptic_curve_cryptography	2.67788754506	0.896385213	3	1	
quantum_physics	2.67685915117	0.8956968644	3	1	
message_authentication	2.67613678709	0.8952135129	3	1	
session_key	2.67552786119	0.894806167	3	1	
tamper_resistant	1.89130411484	0.8942578137	3	0	
information_theoretic	2.31627676999	0.8941896792	2	1	
cell_phones	2.67436917646	0.8940313115	3	1	
public_keys	2.31605096162	0.8940153428	2	1	
instruction_set_extensions	0.94550516043	0.8939800084	0	0	
relative_entropy	2.67406540623	0.8938282246	3	1	
encryption_schemes	2.31522023376	0.8933741218	2	1	
building_blocks	2.67223530266	0.8926051891	3	1	
quantum_bit_commitment	2.31419510526	0.8925831642	2	1	
cryptographic_systems	2.67199755239	0.892446365	3	1	
data_mining	1.88888545317	0.8919720638	3	0	
rfid_tag	2.67126700814	0.8919584286	3	1	
quantum_information_theory	2.67094343227	0.8917423523	3	1	
pseudorandom_generators	2.67042211779	0.8913942859	3	1	
operations_management	2.66920905768	0.8905846242	3	1	
heisenberg_uncertainty_principle	2.66914733381	0.8905434362	3	1	
general_purpose_processors	1.33409521002	0.8899050147	0	1	
bb84_protocol	2.31009663993	0.8894244143	2	1	
homomorphic_encryption	2.66735720622	0.8893493082	3	1	
projective_geometry	2.66672673231	0.8889289331	3	1	
proxy_signature	2.30923907753	0.8887641862	2	1	
discrete_logarithm	2.66641008429	0.8887178422	3	1	
key_exchange_protocol	2.30908059288	0.8886421974	2	1	
unconditional_security	2.30896869264	0.8885560706	2	1	
np_complete	1.88470997557	0.888032923	3	0	
visual_cryptography_schemes	2.30761671653	0.8875158184	2	1	
nash_equilibrium	2.66442588938	0.887395665	3	1	
quantum_communication	2.66392243791	0.8870603444	3	1	
public_key	2.66377074659	0.8869593238	3	1	
secure_communication	1.8826406987	0.8860840001	3	0	
free_space	2.66114836294	0.8852138262	3	1	
fault_attacks	2.30452111086	0.8851362584	2	1	
symmetric_key_cryptography	2.66042657903	0.8847336978	3	1	
reference_string	2.30370490363	0.8845093805	2	1	
digital_certificates	2.65962663049	0.8842017267	3	1	
digital_media	2.65948018831	0.884104359	3	1	
public_key_cryptosystem	2.65936093436	0.8840250724	3	1	
clock_cycle	2.65916781539	0.8838966838	3	1	
square_root	2.6581570548	0.883224866	3	1	
error_correcting_codes	1.87943577895	0.8830697118	3	0	
export_controls	1.87918927264	0.8828380806	3	0	
discrete_logarithm_problem	2.65754077342	0.8828153703	3	1	
bit_commitment	2.65699170522	0.8824506152	3	1	
string_commitment	2.30092558641	0.8823764257	2	1	
beam_splitter	2.65668477347	0.8822467482	3	1	
nios_ii	2.30058459119	0.8821149102	2	1	
